id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
33,New Hampshire,NH,9.20,0.60,42.50,0.30,66532.00,1297.00,11.40,10.10,12.70,27.40,25.80,29.10,17.50,16.00,19.00,
34,New Jersey,NJ,11.10,0.30,39.40,0.20,71919.00,438.00,12.50,11.50,13.40,26.90,25.70,28.10,15.10,14.10,16.10,
35,New Mexico,NM,21.30,0.90,37.20,0.20,44803.00,849.00,15.40,14.10,16.80,28.40,26.90,30.00,19.20,17.70,20.60,
36,New York,NY,15.90,0.30,38.20,0.10,58878.00,393.00,12.30,11.10,13.40,27.00,25.60,28.40,14.40,13.30,15.50,
37,North Carolina,NC,17.20,0.30,38.30,0.10,46556.00,381.00,16.10,15.10,17.20,29.70,28.40,31.00,19.10,17.90,20.30,
38,North Dakota,ND,11.50,0.90,35.10,0.20,59029.00,1681.00,8.80,7.60,10.00,32.20,30.50,33.90,19.90,18.40,21.50,
39,Ohio,OH,15.80,0.30,39.40,0.10,49308.00,363.00,10.20,9.20,11.30,32.60,31.20,34.10,21.00,19.70,22.30,
40,Oklahoma,OK,16.60,0.40,36.20,0.20,47529.00,454.00,13.90,12.90,15.00,33.00,31.60,34.30,21.10,19.90,22.30,
41,Oregon,OR,16.60,0.50,39.30,0.20,51075.00,490.00,11.00,9.70,12.40,27.90,26.20,29.60,17.00,15.50,18.40,
42,Pennsylvania,PA,13.60,0.30,40.70,0.10,53234.00,420.00,10.10,9.20,11.10,30.20,28.90,31.40,19.90,18.80,21.10,
44,Rhode Island,RI,14.30,0.90,39.80,0.30,54891.00,1488.00,8.00,6.80,9.20,27.00,25.40,28.60,16.30,14.80,17.70,
45,South Carolina,SC,18.00,0.50,38.80,0.10,45238.00,507.00,17.10,16.00,18.20,32.10,30.90,33.30,21.50,20.40,22.70,
46,South Dakota,SD,14.20,0.70,36.60,0.30,50979.00,1027.00,9.90,8.40,11.40,29.80,27.90,31.80,18.60,16.90,20.20,
47,Tennessee,TN,18.30,0.40,38.60,0.10,44361.00,561.00,14.20,12.60,15.90,31.20,29.30,33.10,24.20,22.30,26.10,
48,Texas,TX,17.20,0.20,34.30,0.10,53035.00,377.00,24.90,23.70,26.10,31.90,30.60,33.30,14.50,13.60,15.50,
49,Utah,UT,11.70,0.60,30.50,0.10,60922.00,658.00,13.90,13.20,14.60,25.70,24.90,26.60,9.70,9.00,10.30,
50,Vermont,VT,12.20,0.80,42.80,0.30,54166.00,1724.00,6.70,5.90,7.50,24.80,23.50,26.10,16.40,15.20,17.60,
51,Virginia,VA,11.80,0.30,37.70,0.10,64902.00,624.00,13.10,12.00,14.10,28.50,27.20,29.70,19.50,18.40,20.70,
53,Washington,WA,13.20,0.40,37.50,0.10,61366.00,485.00,10.70,9.70,11.80,27.30,26.00,28.50,15.30,14.30,16.40,
54,West Virginia,WV,18.30,0.70,41.90,0.20,41059.00,651.00,10.10,9.10,11.20,35.70,34.20,37.20,26.70,25.20,28.10,
55,Wisconsin,WI,13.20,0.40,39.20,0.20,52622.00,433.00,8.50,7.40,9.70,31.20,29.60,32.80,17.40,16.00,18.70,
56,Wyoming,WY,11.20,0.90,36.60,0.40,57055.00,1983.00,15.10,13.30,16.90,29.50,27.40,31.50,19.50,17.60,21.40,
